number,parity,band,count,n_draws,rel_freq,wilson_lo,wilson_hi,expected,null_lo,null_hi,z,sim_lo,sim_hi,source_dataset_version,analysis_version,through_draw,override_ref
45,odd,high,121,1190,0.1016806723,0.08577062443,0.1201540878,129.8181818,109,151,-0.8199636362,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
46,even,high,133,1190,0.1117647059,0.09509759759,0.1309302865,129.8181818,109,151,0.2958631677,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
47,odd,high,140,1190,0.1176470588,0.1005597794,0.1371949549,129.8181818,109,151,0.9467621367,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
48,even,high,137,1190,0.1151260504,0.09821700908,0.1345119323,129.8181818,109,151,0.6678054357,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
49,odd,high,135,1190,0.1134453782,0.09665668185,0.1327217309,129.8181818,109,151,0.4818343017,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
50,even,high,123,1190,0.1033613445,0.08732170587,0.121953535,129.8181818,109,151,-0.6339925022,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
51,odd,high,153,1190,0.1285714286,0.1107417215,0.148791449,129.8181818,109,151,2.155574508,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
52,even,high,132,1190,0.1109243697,0.09431852915,0.1300340906,129.8181818,109,151,0.2028776007,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
53,odd,high,136,1190,0.1142857143,0.09743669158,0.1336169855,129.8181818,109,151,0.5748198687,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
54,even,high,125,1190,0.1050420168,0.0888741911,0.1237515784,129.8181818,109,151,-0.4480213682,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
55,odd,high,129,1190,0.1084033613,0.09198325626,0.1273435705,129.8181818,109,151,-0.07607910027,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
