metric,value,prob,source_dataset_version,analysis_version,through_draw,override_ref
sum,216,0.004824234835,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,217,0.004665488661,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,218,0.004506570012,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,219,0.004351687282,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,220,0.004196804552,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,221,0.004046199207,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,222,0.003896145783,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,223,0.003750335249,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,224,0.00360538709,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,225,0.003465026772,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,226,0.003325597821,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,227,0.003190860194,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,228,0.003057467874,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,229,0.002928663395,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,230,0.002801411192,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,231,0.0026789538,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,232,0.00255801419,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,233,0.002441903885,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,234,0.002327621817,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,235,0.002217962085,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,236,0.002110234075,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,237,0.00200726638,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,238,0.001906126923,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,239,0.001809678791,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,240,0.001715265866,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,241,0.001625302802,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,242,0.00153740944,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,243,0.001454000433,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,244,0.001372488653,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,245,0.001295357744,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,246,0.001220262042,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,247,0.001149236754,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,248,0.001080212179,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,249,0.001015258019,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,250,0.0009520976003,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,251,0.0008928351215,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,252,0.0008354353748,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,253,0.0007816231124,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,254,0.000729604592,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,255,0.0006811045657,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,256,0.0006341568162,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,257,0.0005905550856,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,258,0.0005485401268,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,259,0.0005095262365,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,260,0.0004719956329,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,261,0.0004373971078,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,262,0.000404040404,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,263,0.0003734088085,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,264,0.0003440190344,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,265,0.000317043913,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,266,0.0002912071281,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,267,0.0002676815107,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,268,0.0002450527645,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,269,0.0002245627107,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,270,0.0002049695279,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,271,0.0001872045823,ds_cbdf3834368e,ds_16b6be697acb,01190,
