draw_id,draw_date,n1,n2,n3,n4,n5,n6,sum,min,max,range,odd_count,even_count,low_count,high_count,gap_1,gap_2,gap_3,gap_4,gap_5,consecutive_pairs,max_gap,min_gap,source_dataset_version,analysis_version,through_draw,override_ref
00512,2020-12-08,2,17,32,33,38,45,167,2,45,43,3,3,2,4,15,15,1,5,7,1,15,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00513,2020-12-10,3,31,34,36,44,54,202,3,54,51,2,4,1,5,28,3,2,8,10,0,28,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00514,2020-12-12,3,14,32,36,41,46,172,3,46,43,2,4,2,4,11,18,4,5,5,0,18,4,ds_cbdf3834368e,ds_16b6be697acb,01190,
00515,2020-12-15,10,11,13,35,38,49,156,10,49,39,4,2,3,3,1,2,22,3,11,1,22,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00516,2020-12-17,15,25,27,35,40,48,190,15,48,33,4,2,3,3,10,2,8,5,8,0,10,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00517,2020-12-19,14,20,32,34,37,49,186,14,49,35,2,4,2,4,6,12,2,3,12,0,12,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00518,2020-12-22,10,11,16,29,35,38,139,10,38,28,3,3,3,3,1,5,13,6,3,1,13,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00519,2020-12-24,11,19,34,41,44,48,197,11,48,37,3,3,2,4,8,15,7,3,4,0,15,3,ds_cbdf3834368e,ds_16b6be697acb,01190,
00520,2020-12-26,1,24,33,41,43,51,193,1,51,50,5,1,2,4,23,9,8,2,8,0,23,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00521,2020-12-29,4,8,11,15,17,41,96,4,41,37,4,2,5,1,4,3,4,2,24,0,24,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00522,2020-12-31,2,15,25,27,37,51,157,2,51,49,5,1,4,2,13,10,2,10,14,0,14,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00523,2021-01-02,7,19,23,26,35,45,155,7,45,38,5,1,4,2,12,4,3,9,10,0,12,3,ds_cbdf3834368e,ds_16b6be697acb,01190,
00524,2021-01-05,5,7,9,22,42,54,139,5,54,49,3,3,4,2,2,2,13,20,12,0,20,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00525,2021-01-07,7,11,22,38,48,51,177,7,51,44,3,3,3,3,4,11,16,10,3,0,16,3,ds_cbdf3834368e,ds_16b6be697acb,01190,
00526,2021-01-09,10,19,24,29,46,48,176,10,48,38,2,4,3,3,9,5,5,17,2,0,17,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00527,2021-01-12,19,23,29,34,44,53,202,19,53,34,4,2,2,4,4,6,5,10,9,0,10,4,ds_cbdf3834368e,ds_16b6be697acb,01190,
00528,2021-01-14,1,4,42,44,46,50,187,1,50,49,1,5,2,4,3,38,2,2,4,0,38,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00529,2021-01-16,13,15,28,29,32,44,161,13,44,31,3,3,2,4,2,13,1,3,12,1,13,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00530,2021-01-19,5,22,25,43,48,53,196,5,53,48,4,2,3,3,17,3,18,5,5,0,18,3,ds_cbdf3834368e,ds_16b6be697acb,01190,
00531,2021-01-21,9,20,22,31,47,52,181,9,52,43,3,3,3,3,11,2,9,16,5,0,16,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00532,2021-01-23,12,31,39,41,45,55,223,12,55,43,5,1,1,5,19,8,2,4,10,0,19,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00533,2021-01-26,7,16,32,42,44,47,188,7,47,40,2,4,2,4,9,16,10,2,3,0,16,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00534,2021-01-28,3,4,16,34,40,55,152,3,55,52,2,4,3,3,1,12,18,6,15,1,18,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00535,2021-01-30,2,7,17,18,21,29,94,2,29,27,4,2,5,1,5,10,1,3,8,1,10,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
