window_end_draw_id,max_z,min_z,mc_max_z_q975,mc_min_z_q025,source_dataset_version,analysis_version,through_draw,override_ref
00359,2.0825849,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00360,2.0825849,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00361,2.0825849,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00362,2.0825849,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00363,2.0825849,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00364,2.0825849,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00365,2.0825849,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00366,2.0825849,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00367,2.0825849,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00368,2.0825849,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00369,2.0825849,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00370,2.309401077,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00371,2.309401077,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00372,2.309401077,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00373,2.309401077,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00374,2.536217254,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00375,2.536217254,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00376,2.536217254,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00377,2.536217254,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00378,2.309401077,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00379,2.309401077,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00380,2.536217254,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00381,2.536217254,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00382,2.536217254,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00383,2.536217254,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00384,2.309401077,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00385,2.0825849,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00386,2.0825849,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00387,2.0825849,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00388,2.0825849,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00389,1.855768722,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00390,1.855768722,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00391,1.855768722,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00392,1.628952545,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00393,1.855768722,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00394,1.628952545,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00395,1.628952545,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00396,1.628952545,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
