window_end_draw_id,number,count,expected,null_lo,null_hi,z,source_dataset_version,analysis_version,through_draw,override_ref
00102,9,14,10.90909091,5,17,0.991460134,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,10,8,10.90909091,5,17,-0.9331389496,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,11,13,10.90909091,5,17,0.67069362,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,12,12,10.90909091,5,17,0.3499271061,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,13,11,10.90909091,5,17,0.02916059218,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,14,8,10.90909091,5,17,-0.9331389496,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,15,11,10.90909091,5,17,0.02916059218,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,16,9,10.90909091,5,17,-0.6123724357,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,17,6,10.90909091,5,17,-1.574671978,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,18,12,10.90909091,5,17,0.3499271061,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,19,9,10.90909091,5,17,-0.6123724357,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,20,10,10.90909091,5,17,-0.2916059218,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,21,8,10.90909091,5,17,-0.9331389496,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,22,8,10.90909091,5,17,-0.9331389496,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,23,13,10.90909091,5,17,0.67069362,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,24,12,10.90909091,5,17,0.3499271061,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,25,9,10.90909091,5,17,-0.6123724357,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,26,12,10.90909091,5,17,0.3499271061,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,27,7,10.90909091,5,17,-1.253905464,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,28,9,10.90909091,5,17,-0.6123724357,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,29,9,10.90909091,5,17,-0.6123724357,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,30,9,10.90909091,5,17,-0.6123724357,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,31,11,10.90909091,5,17,0.02916059218,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,32,14,10.90909091,5,17,0.991460134,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,33,5,10.90909091,5,17,-1.895438491,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,34,8,10.90909091,5,17,-0.9331389496,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,35,16,10.90909091,5,17,1.632993162,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,36,17,10.90909091,5,17,1.953759676,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,37,14,10.90909091,5,17,0.991460134,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,38,8,10.90909091,5,17,-0.9331389496,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,39,9,10.90909091,5,17,-0.6123724357,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,40,9,10.90909091,5,17,-0.6123724357,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,41,17,10.90909091,5,17,1.953759676,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,42,12,10.90909091,5,17,0.3499271061,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,43,10,10.90909091,5,17,-0.2916059218,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,44,13,10.90909091,5,17,0.67069362,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,45,11,10.90909091,5,17,0.02916059218,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,46,14,10.90909091,5,17,0.991460134,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,47,9,10.90909091,5,17,-0.6123724357,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,48,8,10.90909091,5,17,-0.9331389496,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,49,14,10.90909091,5,17,0.991460134,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,50,17,10.90909091,5,17,1.953759676,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,51,12,10.90909091,5,17,0.3499271061,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,52,10,10.90909091,5,17,-0.2916059218,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,53,9,10.90909091,5,17,-0.6123724357,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,54,11,10.90909091,5,17,0.02916059218,ds_cbdf3834368e,ds_16b6be697acb,01190,
