period,draw_first,draw_last,n_draws,config,metric,value,ci_lo,ci_hi,validation_exposed,selection_biased,experiment_id,analysis_version,source_dataset_version,code_version,spec_sha256
fold_01,00501,00550,50,B2_W100,ece_n_bins,10,,,True,False,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
fold_01,00501,00550,50,B2_W100,sum_p_mean,6.0,,,True,False,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
fold_01,00501,00550,50,B2_W100,sum_p_min,5.999999999999998,,,True,False,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
fold_01,00501,00550,50,B2_W100,sum_p_max,6.000000000000001,,,True,False,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
fold_01,00501,00550,50,B2_W100,n_clipped,0,0,0,True,False,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
fold_01,00501,00550,50,B2_W100,sum_mae,27.16476335877863,21.10748626,33.7924626,True,False,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
fold_01,00501,00550,50,B2_W100,sum_rmse,34.851273302605314,26.1015509,42.7410792,True,False,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
fold_01,00501,00550,50,B2_W100,set_level_ls,NA (marginal-only),,,True,False,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
fold_01,00501,00550,50,B2_W100,delta_ll_vs_b0,0.005643058760692899,0.002363021784,0.008870136828,True,False,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
fold_01,00501,00550,50,B2_W100,delta_brier_vs_b0,0.0010092551773890736,0.0003817822711,0.00165255704,True,False,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
fold_01,00501,00550,50,B2_W100,delta_sum_mae_vs_b0,0.5647633587786265,-0.08008854962,1.244887023,True,False,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
